Name,Sport,Date,Start time,Duration,Total distance (km),Average heart rate (bpm),Average speed (km/h),Max speed (km/h),Average pace (min/km),Max pace (min/km),Calories,Fat percentage of calories(%),Average cadence (rpm),Average stride length (cm),Running index,Training load,Ascent (m),Descent (m),Average power (W),Max power (W),Notes,Height (cm),Weight (kg),HR max,HR sit,VO2max,
oo dd,RUNNING,07-01-2026,17:13:36,00:18:08,,140,,,,,125,,,,,,,,,,played pickleball before this. some light left knee pain,173.0,60.0,175,57,39,
Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
1,00:00:00,103,,,,,,,,,
,00:00:01,103,,,,,,,,,
,00:00:02,102,,,,,,,,,
,00:00:03,102,,,,,,,,,
,00:00:04,102,,,,,,,,,
,00:00:05,102,,,,,,,,,
,00:00:06,103,,,,,,,,,
,00:00:07,103,,,,,,,,,
,00:00:08,103,,,,,,,,,
,00:00:09,104,,,,,,,,,
,00:00:10,104,,,,,,,,,
,00:00:11,104,,,,,,,,,
,00:00:12,105,,,,,,,,,
,00:00:13,105,,,,,,,,,
,00:00:14,101,,,,,,,,,
,00:00:15,101,,,,,,,,,
,00:00:16,96,,,,,,,,,
,00:00:17,96,,,,,,,,,
,00:00:18,96,,,,,,,,,
,00:00:19,98,,,,,,,,,
,00:00:20,99,,,,,,,,,
,00:00:21,99,,,,,,,,,
,00:00:22,101,,,,,,,,,
,00:00:23,101,,,,,,,,,
,00:00:24,102,,,,,,,,,
,00:00:25,103,,,,,,,,,
,00:00:26,105,,,,,,,,,
,00:00:27,105,,,,,,,,,
,00:00:28,105,,,,,,,,,
,00:00:29,106,,,,,,,,,
,00:00:30,106,,,,,,,,,
,00:00:31,106,,,,,,,,,
,00:00:32,108,,,,,,,,,
,00:00:33,108,,,,,,,,,
,00:00:34,108,,,,,,,,,
,00:00:35,109,,,,,,,,,
,00:00:36,109,,,,,,,,,
,00:00:37,110,,,,,,,,,
,00:00:38,110,,,,,,,,,
,00:00:39,111,,,,,,,,,
,00:00:40,111,,,,,,,,,
,00:00:41,112,,,,,,,,,
,00:00:42,112,,,,,,,,,
,00:00:43,112,,,,,,,,,
,00:00:44,112,,,,,,,,,
,00:00:45,113,,,,,,,,,
,00:00:46,114,,,,,,,,,
,00:00:47,114,,,,,,,,,
,00:00:48,116,,,,,,,,,
,00:00:49,117,,,,,,,,,
,00:00:50,117,,,,,,,,,
,00:00:51,117,,,,,,,,,
,00:00:52,118,,,,,,,,,
,00:00:53,118,,,,,,,,,
,00:00:54,118,,,,,,,,,
,00:00:55,118,,,,,,,,,
,00:00:56,119,,,,,,,,,
,00:00:57,119,,,,,,,,,
,00:00:58,119,,,,,,,,,
,00:00:59,119,,,,,,,,,
,00:01:00,119,,,,,,,,,
,00:01:01,120,,,,,,,,,
,00:01:02,120,,,,,,,,,
,00:01:03,120,,,,,,,,,
,00:01:04,120,,,,,,,,,
,00:01:05,121,,,,,,,,,
,00:01:06,121,,,,,,,,,
,00:01:07,121,,,,,,,,,
,00:01:08,121,,,,,,,,,
,00:01:09,121,,,,,,,,,
,00:01:10,122,,,,,,,,,
,00:01:11,122,,,,,,,,,
,00:01:12,122,,,,,,,,,
,00:01:13,123,,,,,,,,,
,00:01:14,123,,,,,,,,,
,00:01:15,124,,,,,,,,,
,00:01:16,125,,,,,,,,,
,00:01:17,125,,,,,,,,,
