Name,Sport,Date,Start time,Duration,Total distance (km),Average heart rate (bpm),Average speed (km/h),Max speed (km/h),Average pace (min/km),Max pace (min/km),Calories,Fat percentage of calories(%),Average cadence (rpm),Average stride length (cm),Running index,Training load,Ascent (m),Descent (m),Average power (W),Max power (W),Notes,Height (cm),Weight (kg),HR max,HR sit,VO2max,
oo dd,RUNNING,03-02-2026,17:40:57,00:18:13,,133,,,,,117,,,,,,,,,,,173.0,60.0,175,57,39,
Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
1,00:00:00,66,,,,,,,,,
,00:00:01,66,,,,,,,,,
,00:00:02,66,,,,,,,,,
,00:00:03,66,,,,,,,,,
,00:00:04,65,,,,,,,,,
,00:00:05,65,,,,,,,,,
,00:00:06,66,,,,,,,,,
,00:00:07,66,,,,,,,,,
,00:00:08,66,,,,,,,,,
,00:00:09,66,,,,,,,,,
,00:00:10,67,,,,,,,,,
,00:00:11,69,,,,,,,,,
,00:00:12,71,,,,,,,,,
,00:00:13,71,,,,,,,,,
,00:00:14,73,,,,,,,,,
,00:00:15,74,,,,,,,,,
,00:00:16,74,,,,,,,,,
,00:00:17,76,,,,,,,,,
,00:00:18,76,,,,,,,,,
,00:00:19,78,,,,,,,,,
,00:00:20,78,,,,,,,,,
,00:00:21,84,,,,,,,,,
,00:00:22,84,,,,,,,,,
,00:00:23,84,,,,,,,,,
,00:00:24,87,,,,,,,,,
,00:00:25,89,,,,,,,,,
,00:00:26,90,,,,,,,,,
,00:00:27,90,,,,,,,,,
,00:00:28,92,,,,,,,,,
,00:00:29,94,,,,,,,,,
,00:00:30,94,,,,,,,,,
,00:00:31,97,,,,,,,,,
,00:00:32,97,,,,,,,,,
,00:00:33,98,,,,,,,,,
,00:00:34,99,,,,,,,,,
,00:00:35,100,,,,,,,,,
,00:00:36,100,,,,,,,,,
,00:00:37,100,,,,,,,,,
,00:00:38,100,,,,,,,,,
,00:00:39,100,,,,,,,,,
,00:00:40,100,,,,,,,,,
,00:00:41,100,,,,,,,,,
,00:00:42,100,,,,,,,,,
